id;address;zipcode;test
1;Checking Account Awesome Granite Bike;80004;NEST_SITE_EGG_CHECK
2;applications User-centric;25011;OPPORTUNISTIC_AT_NEST
3;National invoice;16190;OPPORTUNISTIC_IN_FIELD
4;hacking supply-chains;62940;NEST_SITE_HATCH_CHECK
5;Mauritius Rupee;3652;NEST_SITE_HATCH_CHECK
6;Rubber Principal;14430;AT_SUPPLEMENTARY_FEEDERS
7;Mouse Hawaii;8208;NEST_SITE_HATCH_CHECK
8;Developer calculating Shoes;83013;OPPORTUNISTIC_IN_FIELD
9;invoice Forward;30577;OPPORTUNISTIC_AT_NEST
10;Re-engineered Islands Senior;6113;OPPORTUNISTIC_IN_FIELD
